Metric Summary,Value
First Time Yield (%),100.0

Burndown Curve
Date,Remaining Points,Ideal Points,Inverse Root Points
2026-07-01,100.0,100.0,100.0
2026-07-02,100.0,95.0,77.64
2026-07-03,100.0,90.0,68.38
2026-07-04,100.0,85.0,61.27
2026-07-05,100.0,80.0,55.28
2026-07-06,100.0,75.0,50.0
2026-07-07,100.0,70.0,45.23
2026-07-08,100.0,65.0,40.84
2026-07-09,100.0,60.0,36.75
2026-07-10,100.0,55.0,32.92
2026-07-11,100.0,50.0,29.29
2026-07-12,84.0,45.0,25.84
2026-07-13,84.0,40.0,22.54
2026-07-14,84.0,35.0,19.38
2026-07-15,84.0,30.0,16.33
2026-07-16,84.0,25.0,13.4
2026-07-17,84.0,20.0,10.56
2026-07-18,84.0,15.0,7.8
2026-07-19,84.0,10.0,5.13
2026-07-20,84.0,5.0,2.53
2026-07-21,84.0,0.0,0.0

Tickets Per Day Chart
Day Label,Tickets Merged
Monday,0
Tuesday,0
Wednesday,0
Thursday,0
Friday,0
Saturday,0
Sunday,3
