record_date,Sprint,issues_total,issues_todo,issues_in_progress,issues_in_review,issues_merged,avg_time_todo_E2,avg_time_in_progress_E2,avg_time_in_review_E2,avg_time_merged_E2,avg_time_todo_E4,avg_time_in_progress_E4,avg_time_in_review_E4,avg_time_merged_E4,avg_time_todo_E8,avg_time_in_progress_E8,avg_time_in_review_E8,avg_time_merged_E8,avg_time_todo_E16,avg_time_in_progress_E16,avg_time_in_review_E16,avg_time_merged_E16,story_points_total,story_points_bug,story_points_non_bug,story_points_clean_pct,average_prs_per_issue,reentries_per_issue,BurndownSP,BurndownAVGSP,BurndownPredictionSP,SPDelta,,,Title,Sprint,TodoDays,InProgressDays,InReviewDays,ReworkDays
2026-07-01,Sprint 14,25,25,0,2,0,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,100.0,100.0,100.0,0.0,,,Database Migration Phase 1,Sprint 14,0.7,1.8,1.0,0.0
2026-07-02,Sprint 14,25,23,0,2,1,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,100.0,98.0,100.0,2.0,,,Database Migration Phase 2,Sprint 14,0.9,2.6,0.5,0.0
2026-07-03,Sprint 14,25,21,0,2,3,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,95.0,95.0,95.0,0.0,,,Database Migration Phase 3,Sprint 14,1.1,3.4,1.0,0.0
2026-07-04,Sprint 14,25,19,0,2,4,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,85.0,90.0,85.0,-5.0,,,Database Migration Phase 4,Sprint 14,1.3,1.0,0.5,0.0
2026-07-05,Sprint 14,25,17,0,2,6,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,85.0,85.0,85.0,0.0,,,Database Migration Phase 5,Sprint 14,1.5,1.8,1.0,2.5
2026-07-06,Sprint 14,25,15,1,2,7,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,70.0,78.0,70.0,-8.0,,,Database Migration Phase 6,Sprint 14,1.7,2.6,0.5,0.0
2026-07-07,Sprint 14,25,13,1,2,9,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,65.0,70.0,65.0,-5.0,,,Database Migration Phase 7,Sprint 14,1.9,3.4,1.0,0.0
2026-07-08,Sprint 14,25,11,2,2,10,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,60.0,60.0,60.0,0.0,,,Database Migration Phase 8,Sprint 14,2.1,1.0,0.5,0.0
2026-07-09,Sprint 14,25,9,2,2,12,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,50.0,50.0,50.0,0.0,,,Database Migration Phase 9,Sprint 14,2.3,1.8,1.0,0.0
2026-07-10,Sprint 14,25,7,3,2,13,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,40.0,40.0,40.0,0.0,,,Database Migration Phase 10,Sprint 14,2.5,2.6,0.5,0.0
2026-07-11,Sprint 14,25,5,3,2,15,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,32.0,30.0,32.0,2.0,,,Database Migration Phase 11,Sprint 14,2.7,3.4,1.0,0.0
